[info | Main]: Reading relevant data from averages*.dat files
[info | Main]: Reading SEvec*.dat.npy files obtained from qcm
[info | Main]: Entering decision loop regarding if NOCOEX or COEX. Integration over BZ or RBZ
[notice | Main]: Entered loop with NOCOEX and AFM_SC_NOCOEX = 1
[notice | Main]: DOS set to 1
[notice | Main]: DOS set to 1
[notice | Main]: DOS set to 1
[notice | Main]: DOS set to 1
[notice | Main]: DOS set to 1
[notice | Main]: DOS set to 1
[notice | Main]: DOS set to 1
[notice | Main]: DOS set to 1
[notice | Main]: DOS set to 1
[notice | Main]: DOS set to 1
[notice | Main]: DOS set to 1
[notice | Main]: DOS set to 1
[notice | Main]: DOS set to 1
[notice | Main]: DOS set to 1
[notice | Main]: DOS set to 1
[notice | Main]: DOS set to 1
[notice | Main]: DOS set to 1
[notice | Main]: DOS set to 1
[notice | Main]: DOS set to 1
[notice | Main]: DOS set to 1
[notice | Main]: DOS set to 1
[notice | Main]: DOS set to 1
[notice | Main]: DOS set to 1
[notice | Main]: DOS set to 1
[notice | Main]: DOS set to 1
